200-01.csv,200-05.csv,200-10.csv,200-20.csv,350-01.csv,350-05.csv,350-10.csv,350-20.csv,400-01.csv,400-05.csv,400-10.csv,400-20.csv,500-01.csv,500-05.csv,500-10.csv,500-20.csv
o_sample,o_sample,o_sample,o_sample,o_sample,o_sample,o_sample,o_sample,o_sample,o_sample,o_sample,o_sample,o_sample,o_sample,o_sample,o_sample
0,.0078125,.015625,.03515625,.1015625,.56640625,1.13671875,2.1484375,.08203125,.46484375,.92578125,1.85546875,0,-.00390625,-.0078125,-.0234375
0,.0078125,.015625,.03515625,.109375,.62109375,1.23828125,2.33984375,.0859375,.48828125,.97265625,1.9453125,0,0,-.00390625,-.0078125
0,.0078125,.015625,.03515625,.11328125,.640625,1.27734375,2.41796875,.0859375,.48046875,.95703125,1.91796875,0,0,.00390625,.00390625
0,.0078125,.015625,.03515625,.11328125,.62890625,1.26171875,2.37890625,.078125,.4453125,.8828125,1.765625,0,.00390625,.0078125,.01953125
0,.0078125,.015625,.03515625,.10546875,.58984375,1.1796875,2.2265625,.06640625,.37890625,.75,1.50390625,0,.0078125,.01171875,.02734375
0,.0078125,.015625,.03515625,.09375,.51953125,1.0390625,1.96484375,.05078125,.2890625,.57421875,1.15234375,0,.0078125,.015625,.03515625
0,.0078125,.015625,.03515625,.07421875,.42578125,.84765625,1.60546875,.03125,.1796875,.359375,.7265625,0,.0078125,.015625,.03515625
0,.0078125,.015625,.03515625,.0546875,.30859375,.62109375,1.171875,.01171875,.06640625,.12890625,.25390625,0,.0078125,.015625,.03515625
0,.0078125,.015625,.03515625,.03125,.1796875,.359375,.67578125,-.01171875,-.05859375,-.11328125,-.234375,0,.0078125,.01171875,.03125
0,.0078125,.015625,.03515625,.0078125,.0390625,.078125,.15234375,-.03125,-.17578125,-.3515625,-.703125,0,.00390625,.0078125,.0234375
0,.0078125,.015625,.03125,-.01953125,-.1015625,-.203125,-.37890625,-.05078125,-.28515625,-.56640625,-1.1328125,0,.00390625,.00390625,.0078125
0,.0078125,.01171875,.03125,-.04296875,-.23828125,-.47265625,-.890625,-.06640625,-.375,-.7421875,-1.48828125,0,0,0,0
0,.0078125,.01171875,.02734375,-.0625,-.359375,-.71875,-1.3671875,-.078125,-.4375,-.875,-1.75390625,0,-.00390625,-.00390625,-.01171875
0,.00390625,.01171875,.0234375,-.08203125,-.46875,-.9375,-1.76953125,-.0859375,-.48046875,-.94921875,-1.90234375,0,-.00390625,-.01171875,-.0234375
0,.00390625,.0078125,.0234375,-.09765625,-.5546875,-1.10546875,-2.08984375,-.0859375,-.484375,-.96484375,-1.9375,0,-.0078125,-.01171875,-.03125
0,.00390625,.0078125,.01953125,-.109375,-.609375,-1.22265625,-2.30859375,-.08203125,-.4609375,-.921875,-1.8515625,0,-.0078125,-.015625,-.03515625
0,.00390625,.00390625,.01171875,-.11328125,-.63671875,-1.27734375,-2.41015625,-.07421875,-.4140625,-.8203125,-1.64453125,0,-.0078125,-.015625,-.03515625
0,0,.00390625,.0078125,-.11328125,-.63671875,-1.26953125,-2.40234375,-.05859375,-.33203125,-.66796875,-1.3359375,0,-.0078125,-.01171875,-.03125
0,0,0,.00390625,-.10546875,-.6015625,-1.203125,-2.27734375,-.04296875,-.23828125,-.46875,-.94140625,0,-.00390625,-.01171875,-.0234375
0,0,0,0,-.09765625,-.5390625,-1.08203125,-2.04296875,-.0234375,-.12109375,-.24609375,-.48828125,0,-.00390625,-.00390625,-.01171875
0,0,0,-.00390625,-.08203125,-.453125,-.90625,-1.70703125,0,0,0,-.00390625,0,0,0,-.00390625
0,0,-.00390625,-.00390625,-.0625,-.34375,-.6796875,-1.2890625,.01953125,.1171875,.2421875,.48046875,0,0,.00390625,.0078125
0,0,-.00390625,-.0078125,-.0390625,-.21484375,-.4296875,-.8125,.04296875,.234375,.46484375,.9375,0,.00390625,.0078125,.01953125
0,-.00390625,-.00390625,-.0078125,-.015625,-.078125,-.15234375,-.29296875,.05859375,.3359375,.66796875,1.3359375,0,.0078125,.01171875,.02734375
0,-.00390625,-.00390625,-.01171875,.01171875,.0625,.1171875,.2265625,.07421875,.4140625,.8203125,1.6484375,0,.00390625,.01171875,.0234375
0,-.00390625,-.0078125,-.01171875,.03515625,.19921875,.39453125,.74609375,.08203125,.46484375,.92578125,1.85546875,0,.00390625,.01171875,.0234375
0,-.00390625,-.0078125,-.015625,.05859375,.32421875,.65234375,1.23046875,.0859375,.48828125,.97265625,1.9453125,0,.00390625,.01171875,.0234375
0,-.00390625,-.0078125,-.015625,.078125,.44140625,.875,1.65234375,.0859375,.48046875,.95703125,1.91796875,0,.00390625,.0078125,.01953125
0,-.00390625,-.0078125,-.0234375,.09375,.52734375,1.0546875,1.99609375,.078125,.4453125,.8828125,1.765625,0,.00390625,.0078125,.01171875
0,-.00390625,-.01171875,-.0234375,.10546875,.59375,1.1875,2.24609375,.06640625,.37890625,.75,1.50390625,0,0,.00390625,.0078125
0,-.00390625,-.01171875,-.0234375,.11328125,.6328125,1.26171875,2.3828125,.05078125,.28515625,.5703125,1.1484375,0,0,0,0
0,-.00390625,-.01171875,-.02734375,.11328125,.671875,1.34375,2.265625,.03125,.19140625,.37890625,.76171875,0,0,-.00390625,-.0078125
0,-.00390625,-.01171875,-.02734375,.109375,.6484375,1.29296875,2.18359375,.01171875,.06640625,.12890625,.26171875,0,-.00390625,-.0078125,-.015625
0,-.00390625,-.01171875,-.02734375,.09765625,.58984375,1.18359375,1.9921875,-.01171875,-.06640625,-.12890625,-.2578125,0,-.00390625,-.0078125,-.01953125
0,-.00390625,-.01171875,-.02734375,.0859375,.50390625,1.01171875,1.703125,-.03125,-.19140625,-.37890625,-.76171875,0,-.00390625,-.0078125,-.0234375
0,-.00390625,-.01171875,-.0234375,.06640625,.39453125,.79296875,1.3359375,-.05078125,-.30078125,-.6015625,-1.2109375,0,-.00390625,-.01171875,-.0234375
0,-.00390625,-.01171875,-.0234375,.046875,.26953125,.53515625,.90234375,-.06640625,-.3984375,-.79296875,-1.5859375,0,-.00390625,-.0078125,-.0234375
